X,Y,Path_curvature,Xin,Yin,Xout,Yout,Inner BoundryD,Width
-312.9017528,-116.7187899,-0.040001346,-308.1878533,-123.5385266,-313.8738713,-115.3123976,8.290335142,10
-312.9829457,-116.79484,-0.040000067,-308.3253304,-123.6323151,-313.9551504,-115.3676235,8.273115826,10
-313.0718158,-116.877561,-0.039999018,-308.4551308,-123.719953,-314.0482532,-115.4303824,8.254217591,10
-313.1567299,-116.9561347,-0.039998294,-308.5883675,-123.8088681,-314.1352631,-115.4882943,8.235890369,10
-313.2432482,-117.0357902,-0.039998782,-308.724353,-123.8985072,-314.2238724,-115.5465442,8.216891066,10
-313.3318772,-117.1167605,-0.040000178,-308.8532685,-123.9826542,-314.3166755,-115.6070238,8.19746496,10
-313.41619,-117.193292,-0.040002068,-308.9954979,-124.0741737,-314.4007101,-115.6608699,8.17857274,10
-313.508471,-117.2766225,-0.040004135,-309.1200062,-124.1536545,-314.4993764,-115.7238043,8.157952762,10
-313.590499,-117.3503111,-0.040002185,-309.2685515,-124.2469419,-314.5787447,-115.7733447,8.138964648,10
-313.6864192,-117.4358946,-0.03999938,-309.3885635,-124.3218568,-314.6833511,-115.8386248,8.117144707,10
-313.7662876,-117.5067326,-0.039996539,-309.5434862,-124.4167925,-314.7579746,-115.8839669,8.098208378,10
-313.865384,-117.5942177,-0.039993882,-309.6644015,-124.4904563,-314.8668273,-115.9502709,8.075045503,10
-313.9451634,-117.6640622,-0.039993202,-309.8173012,-124.5819345,-314.941377,-115.9945107,8.055817986,10
-314.0433722,-117.7495734,-0.039992939,-309.9420681,-124.6560385,-315.0479991,-116.0578137,8.03243147,10
-314.1268329,-117.8219418,-0.03999425,-310.0904865,-124.7427786,-315.1284439,-116.1045504,8.011870813,10
-314.2227575,-117.904598,-0.039996102,-310.2215924,-124.8186822,-315.230337,-116.1634828,7.988359211,10
-314.3100218,-117.9791594,-0.039998927,-310.3654351,-124.9007834,-315.3167655,-116.2126116,7.966720941,10
-314.4037688,-118.0589581,-0.040002715,-310.5029711,-124.9783808,-315.4138273,-116.2672678,7.943213036,10
-314.4946812,-118.1358507,-0.040007484,-310.6421394,-125.0559402,-315.5063312,-116.3186846,7.920209514,10
-314.5863115,-118.2128747,-0.040013609,-310.7861969,-125.1351241,-315.5984581,-116.3691591,7.896733963,10
-314.680878,-118.2919565,-0.040020504,-310.9205831,-125.2082353,-315.6971359,-116.4227619,7.872403056,10
-314.770355,-118.366461,-0.040025361,-311.0712642,-125.2889016,-315.78421,-116.469143,7.848786928,10
-314.8685824,-118.4475685,-0.040029328,-311.2007586,-125.3576581,-315.889159,-116.5248273,7.823187965,10
-314.9560949,-118.519417,-0.040014093,-311.3581505,-125.4396931,-315.9710731,-116.5672107,7.799706771,10
-315.0578807,-118.602584,-0.039995796,-311.4826322,-125.5041848,-316.0823974,-116.624874,7.772676195,10
-315.1434059,-118.6720989,-0.039972001,-311.646775,-125.5874512,-316.1590818,-116.6633778,7.749098341,10
-315.2475995,-118.7562555,-0.039948393,-311.7738835,-125.6514926,-316.2730401,-116.7207822,7.720815874,10
-315.334852,-118.8263475,-0.039927026,-311.9319711,-125.7296303,-316.3533515,-116.7601601,7.696421981,10
-315.4372747,-118.9081712,-0.039909459,-312.0650042,-125.7947936,-316.4628698,-116.8137704,7.667970868,10
-315.5283118,-118.9803909,-0.039903621,-312.2179529,-125.86845,-316.5496133,-116.8553086,7.642240193,10
-315.6286803,-119.0596056,-0.039924492,-312.3577812,-125.935015,-316.653792,-116.9048272,7.613805525,10
-315.723362,-119.1339948,-0.039985286,-312.5054993,-126.0043022,-316.7470347,-116.9483994,7.586551638,10
-315.8216523,-119.2108298,-0.040058593,-312.6522872,-126.0721835,-316.84569,-116.9938921,7.557979215,10
-315.9199899,-119.2870411,-0.040140828,-312.7947329,-126.1372319,-316.9454537,-117.0393467,7.529431964,10
-316.0163469,-119.3613925,-0.040225655,-312.9486303,-126.2063272,-317.0384095,-117.0808844,7.500934347,10
-316.1181782,-119.4395633,-0.040309808,-313.0856667,-126.2672228,-317.1448115,-117.1281122,7.470813911,10
